,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
138,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,119.0,True,993905,Callum,Mills,SYD,DEF,R5,Draft
139,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,173.0,True,993905,Callum,Mills,SYD,DEF,R6,Draft
140,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,81.0,True,993905,Callum,Mills,SYD,DEF,R7,Draft
141,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,110.0,True,993905,Callum,Mills,SYD,DEF,R8,Draft
142,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,83.0,True,993905,Callum,Mills,SYD,DEF,R9,Draft
143,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,74.0,True,993905,Callum,Mills,SYD,DEF,R10,Draft
144,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,0.0,False,993905,Callum,Mills,SYD,DEF,R11,Draft
145,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,104.0,True,993905,Callum,Mills,SYD,DEF,R12,Draft
146,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,86.0,True,993905,Callum,Mills,SYD,DEF,R13,Draft
147,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,104.0,True,993905,Callum,Mills,SYD,DEF,R14,Draft
148,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,71.0,True,298279,Angus,Brayshaw,MEL,MID,R1,Draft
149,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,83.0,True,298279,Angus,Brayshaw,MEL,MID,R2,Draft
150,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,0.0,False,298279,Angus,Brayshaw,MEL,MID,R3,Draft
151,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,114.0,True,298279,Angus,Brayshaw,MEL,MID,R4,Draft
152,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,76.0,True,298279,Angus,Brayshaw,MEL,MID,R5,Draft
153,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,464.0,MID,44.0,True,298279,Angus,Brayshaw,MEL,MID,R6,Draft
154,10.0,71052.0,9867.0,James,Bad Boys For Fyfe,464.0,MID,91.0,True,298279,Angus,Brayshaw,MEL,MID,R10,Free Agent
155,11.0,71052.0,9867.0,James,Bad Boys For Fyfe,464.0,MID,113.0,True,298279,Angus,Brayshaw,MEL,MID,R11,Free Agent
156,12.0,71052.0,9867.0,James,Bad Boys For Fyfe,464.0,MID,131.0,True,298279,Angus,Brayshaw,MEL,MID,R12,Free Agent
