,id,first_name,last_name,team_id,price,previous_games,previous_average,previous_total,feed_id,hs_url,active,positions,team,position,long_team
188,189,Ben,Hobbs,5,262700,12,48.75,585,1017088,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
189,190,Zak,Johnson,5,113500,0,0.0,0,1028519,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
190,191,Harrison,Jones,5,306600,21,56.9,1195,1011755,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
191,192,Isaac,Kako,5,149500,0,0.0,0,1028554,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,MID FWD,Essendon
192,193,Kyle,Langford,5,422200,23,78.35,1802,298630,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
193,194,Jayden,Laverde,5,362800,21,67.33,1414,298280,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
194,195,Luamon,Lual,5,119900,0,0.0,0,1027706,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
195,196,Nic,Martin,5,566000,23,105.04,2416,1012013,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
196,197,Andrew,McGrath,5,514000,23,95.39,2194,998102,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
197,198,Ben,McKay,5,365000,23,67.74,1558,1002143,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
198,199,Jye,Menzie,5,182800,14,33.93,475,1013201,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
199,200,Zach,Merrett,5,621100,23,115.26,2651,992016,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
200,201,Jayden,Nguyen,5,99100,0,0.0,0,1018987,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,DEF MID,Essendon
201,202,Darcy,Parish,5,481400,12,89.33,1072,993817,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
202,203,Archie,Perkins,5,348100,18,64.61,1163,1015873,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
203,204,Jaxon,Prior,5,169200,4,39.25,157,1009386,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
204,205,Mason,Redman,5,475700,21,88.29,1854,997078,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
205,206,Zach,Reid,5,119900,1,15.0,15,1012817,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
206,207,Jordan,Ridley,5,552600,9,102.56,923,1001026,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
207,208,Archie,Roberts,5,338400,4,78.5,314,1023515,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,DEF MID,Essendon
208,209,Will,Setterfield,5,462300,4,107.25,429,998215,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
209,210,Dylan,Shiel,5,413700,9,76.78,691,291783,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
210,211,Elijah,Tsatas,5,191200,7,39.43,276,1023785,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
211,212,Rhys,Unwin,5,113500,0,0.0,0,1032023,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
212,213,Vigo,Visentini,5,119900,0,0.0,0,1027966,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ESS,RUC,Essendon
213,214,Peter,Wright,5,378300,14,70.21,983,298289,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
214,215,James,Aish,6,333000,20,61.8,1236,295067,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",FRE,DEF,Fremantle
