,round,pick,coach_first_name,player_id,name,team_abbrev,scr_pos,avg,round_rank_by_pos_all_players,round_rank_by_pos_drafted_players,scr,pos_scr,scr_wgt,nearest_7_rank
28,4.0,29.0,Paul,286,T.Miller,GCS,MID,102.55555555555556,24.083333333333332,19.0,-3.156,-0.875,-4.054935,6
29,4.0,30.0,James,666,I.Heeney,SYD,FWD,116.76190476190476,13.166666666666666,7.0,-1.592,2.133,-3.5744149999999997,2
30,4.0,31.0,Anthony,215,A.Brayshaw,FRE,MID,109.82608695652173,20.934782608695652,16.97826086956522,-2.355,-2.397,-3.8701700000000003,4
31,4.0,32.0,Jordan,126,S.Walsh,CAR,MID,108.36842105263158,21.894736842105264,17.68421052631579,-2.516,3.418,-3.8010699999999997,3
32,5.0,33.0,Mark,640,J.Steele,STK,MID,108.6086956521739,20.47826086956522,16.630434782608695,-2.489,-0.495,-3.6704600000000003,3
33,5.0,34.0,Luke,230,L.Jackson,FRE,RUC,94.52173913043478,10.369565217391305,8.76086956521739,-4.04,2.792,-3.500745,2
34,5.0,35.0,Simon,221,S.Darcy,FRE,RUC,98.25,8.958333333333334,7.958333333333333,-3.63,-6.118,-4.470305000000001,7
35,5.0,36.0,Lester,255,H.Young,FRE,DEF,101.34782608695652,31.847826086956523,18.347826086956523,-3.289,-2.908,-4.421445,7
36,5.0,37.0,Paul,639,J.Sinclair,STK,DEF,109.9090909090909,24.045454545454547,15.045454545454545,-2.346,-2.024,-4.934539999999999,8
37,5.0,38.0,James,598,J.Short,RIC,DEF,82.0909090909091,58.45454545454545,28.477272727272727,-5.409,-0.016,-4.295890000000001,7
38,5.0,39.0,Anthony,509,H.Sheezel,NTH,DEF,117.95238095238095,16.761904761904763,11.166666666666666,-1.46,0.069,-3.8573649999999997,6
39,5.0,40.0,Jordan,273,S.Flanders,GCS,FWD,119.04545454545455,7.795454545454546,5.159090909090909,-1.34,-0.112,-3.4673550000000004,4
40,6.0,41.0,Mark,27,R.O'Brien,ADE,RUC,93.28571428571429,10.0,8.523809523809524,-4.176,-8.366,-3.771965,4
41,6.0,42.0,Luke,585,D.*** Martin,RIC,FWD,63.46153846153846,65.76923076923077,26.192307692307693,-7.46,-5.826,-3.333425,3
42,6.0,43.0,Simon,257,N.Anderson,GCS,MID,106.69565217391305,26.130434782608695,19.23913043478261,-2.7,-0.984,-2.8778200000000003,1
43,6.0,44.0,Lester,690,C.Warner,SYD,MID,103.86363636363636,26.0,19.204545454545453,-3.012,-1.419,-3.07475,1
44,6.0,45.0,Paul,372,J.Kelly,GWS,MID,99.93333333333334,27.166666666666668,22.6,-3.444,-2.948,-8.476104,4
45,6.0,46.0,James,590,T.Nankervis,RIC,RUC,110.23809523809524,7.0476190476190474,6.119047619047619,-2.31,0.895,-9.195267,7
46,6.0,47.0,Anthony,703,C.Daniel,WBD,MID,49.93333333333333,65.66666666666667,38.6,-8.95,-7.813,-10.308482,8
47,6.0,48.0,Jordan,518,T.Xerri,NTH,RUC,119.8695652173913,5.695652173913044,5.304347826086956,-1.249,-2.927,-8.55031,7
48,7.0,49.0,Mark,120,N.Newman,CAR,DEF,101.47826086956522,35.17391304347826,18.91304347826087,-3.274,-3.012,-8.274917,5
49,7.0,50.0,Luke,93,A.Cerra,CAR,MID,83.08333333333333,41.625,29.875,-5.3,-3.611,-8.059532,4
50,7.0,51.0,Simon,601,T.Taranto,RIC,MID,94.53333333333333,32.4,23.966666666666665,-4.039,-3.333,-7.791849999999999,3
51,7.0,52.0,Lester,139,J.De Goey,COL,MID,82.0,39.61538461538461,27.615384615384617,-5.419,-5.518,-8.563284,5
52,7.0,53.0,Paul,566,S.Bolton,RIC,FWD,77.22727272727273,49.36363636363637,20.636363636363637,-5.944,-3.339,-8.036638,3
53,7.0,54.0,James,474,J.Viney,MEL,MID,88.0,38.15217391304348,26.58695652173913,-4.758,0.375,-7.285378,2
54,7.0,55.0,Anthony,67,H.McCluggage,BRL,MID,98.08695652173913,29.41304347826087,22.282608695652176,-3.648,-3.266,-8.422789,4
55,7.0,56.0,Jordan,418,J.Newcombe,HAW,MID,98.30434782608695,29.934782608695652,22.67391304347826,-3.624,-3.94,-8.836628000000001,6
